,start station id,start station latitude,start station longitude,start station name
0,72,40.76727216,-73.99392888,W 52 St & 11 Ave
1,79,40.71911552,-74.00666661,Franklin St & W Broadway
2,82,40.71117416,-74.00016545,St James Pl & Pearl St
3,83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl
4,116,40.74177603,-74.00149746,W 17 St & 8 Ave
5,119,40.69608941,-73.97803415,Park Ave & St Edwards St
6,120,40.68676793,-73.95928168,Lexington Ave & Classon Ave
7,127,40.73172428,-74.00674436,Barrow St & Hudson St
8,128,40.72710258,-74.00297088,MacDougal St & Prince St
9,143,40.69239502,-73.99337909,Clinton St & Joralemon St
10,144,40.69839895,-73.98068914,Nassau St & Navy St
11,146,40.71625008,-74.0091059,Hudson St & Reade St
12,150,40.7208736,-73.98085795,E 2 St & Avenue C
13,151,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St
14,157,40.69089272,-73.99612349,Henry St & Atlantic Ave
15,161,40.728,-73.998,LaGuardia Pl & W 3 St
16,164,40.75323098,-73.97032517,E 47 St & 2 Ave
17,167,40.7489006,-73.97604882,E 39 St & 3 Ave
18,168,40.73971301,-73.99456405,W 18 St & 6 Ave
19,173,40.76068327096592,-73.9845272898674,Broadway & W 49 St
20,174,40.7381765,-73.97738662,E 25 St & 1 Ave
21,195,40.70905623,-74.01043382,Liberty St & Broadway
22,212,40.74334935,-74.00681753,W 16 St & The High Line
23,216,40.70037867,-73.99548059,Columbia Heights & Cranberry St
24,217,40.70277159,-73.99383605,Old Fulton St
25,223,40.73781509,-73.99994661,W 13 St & 7 Ave
26,224,40.71146364,-74.00552427,Spruce St & Nassau St
27,228,40.7546011026,-73.971878855,E 48 St & 3 Ave
28,229,40.72743423,-73.99379025,Great Jones St
29,236,40.7284186,-73.98713956,St Marks Pl & 2 Ave
30,237,40.73047309,-73.98672378,E 11 St & 2 Ave
31,238,40.7361967,-74.00859207,Bank St & Washington St
32,239,40.69196566,-73.9813018,Willoughby St & Fleet St
33,241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
34,242,40.697787,-73.973736,Carlton Ave & Flushing Ave
35,244,40.69196035,-73.96536851,Willoughby Ave & Hall St
36,245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St
37,247,40.73535398,-74.00483091,Perry St & Bleecker St
38,248,40.72185379,-74.00771779,Laight St & Hudson St
39,249,40.71870987,-74.0090009,Harrison St & Hudson St
40,250,40.72456089,-73.99565293,Lafayette St & Jersey St
41,251,40.72317958,-73.99480012,Mott St & Prince St
42,252,40.73226398,-73.99852205,MacDougal St & Washington Sq
43,254,40.73532427,-73.99800419,W 11 St & 6 Ave
44,257,40.71939226,-74.00247214,Lispenard St & Broadway
45,258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave
46,259,40.70122128,-74.01234218,South St & Whitehall St
47,260,40.70365182,-74.01167797,Broad St & Bridge St
48,261,40.69474881,-73.98362464,Johnson St & Gold St
49,262,40.6917823,-73.9737299,Washington Park
50,264,40.70706456,-74.00731853,Maiden Ln & Pearl St
51,265,40.72229346,-73.99147535,Stanton St & Chrystie St
52,267,40.75097711,-73.98765428,Broadway & W 36 St
53,268,40.71910537,-73.99973337,Howard St & Centre St
54,270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
55,274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
56,275,40.68650065,-73.96563307,Washington Ave & Greene Ave
57,276,40.71748752,-74.0104554,Duane St & Greenwich St
58,278,40.69766564,-73.98476437,Concord St & Bridge St
59,280,40.73331967,-73.99510132,E 10 St & 5 Ave
60,281,40.7643971,-73.97371465,Grand Army Plaza & Central Park S
61,282,40.707644944175705,-73.96841526031494,Kent Ave & S 11 St
62,284,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave
63,285,40.73454567,-73.99074142,Broadway & E 14 St
64,289,40.6845683,-73.95881081,Monroe St & Classon Ave
