,starttime_H,starttime_W,size
0,1:00,15,179
1,2:00,15,86
2,3:00,15,49
3,4:00,15,38
4,5:00,15,61
5,6:00,15,249
6,7:00,15,830
7,8:00,15,1731
8,9:00,15,2900
9,10:00,15,1989
10,11:00,15,1280
11,12:00,15,1352
12,13:00,15,1672
13,14:00,15,1808
14,15:00,15,1893
15,16:00,15,2037
16,17:00,15,2566
17,18:00,15,3720
18,19:00,15,3563
19,20:00,15,2261
20,21:00,15,1300
21,22:00,15,840
22,23:00,15,544
23,24:00,15,358
