,kmeans_id_start,kmeans_id_end,starttime,size,end station latitude,end station longitude,start station latitude,start station longitude
0,0.0,0.0,2020-03-01,969.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
1,0.0,0.0,2020-03-02,1501.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
2,0.0,0.0,2020-03-03,1327.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
3,0.0,0.0,2020-03-04,1505.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
4,0.0,0.0,2020-03-05,1603.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
5,0.0,0.0,2020-03-06,971.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
6,0.0,0.0,2020-03-07,1056.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
7,0.0,0.0,2020-03-08,1296.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
8,0.0,0.0,2020-03-09,1743.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
9,0.0,0.0,2020-03-10,1528.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
10,0.0,0.0,2020-03-11,1543.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
11,0.0,0.0,2020-03-12,1191.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
12,0.0,0.0,2020-03-13,1046.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
13,0.0,0.0,2020-03-14,1051.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
14,0.0,0.0,2020-03-15,844.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
15,0.0,0.0,2020-03-16,666.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
16,0.0,0.0,2020-03-17,567.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
17,0.0,0.0,2020-03-18,679.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
18,0.0,0.0,2020-03-19,444.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
19,0.0,0.0,2020-03-20,606.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
20,0.0,0.0,2020-03-21,666.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
21,0.0,0.0,2020-03-22,445.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
22,0.0,0.0,2020-03-23,80.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
23,0.0,0.0,2020-03-24,383.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
24,0.0,0.0,2020-03-25,250.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
25,0.0,0.0,2020-03-26,429.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
26,0.0,0.0,2020-03-27,612.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
27,0.0,0.0,2020-03-28,240.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
28,0.0,0.0,2020-03-29,183.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
29,0.0,0.0,2020-03-30,299.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
30,0.0,0.0,2020-03-31,292.0,40.69335995776743,-73.98217446162076,40.69335995776743,-73.98217446162076
31,0.0,1.0,2020-03-04,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
32,0.0,1.0,2020-03-07,2.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
33,0.0,1.0,2020-03-09,7.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
34,0.0,1.0,2020-03-10,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
35,0.0,1.0,2020-03-11,2.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
36,0.0,1.0,2020-03-12,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
37,0.0,1.0,2020-03-13,4.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
38,0.0,1.0,2020-03-14,2.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
39,0.0,1.0,2020-03-15,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
40,0.0,1.0,2020-03-17,3.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
41,0.0,1.0,2020-03-18,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
42,0.0,1.0,2020-03-19,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
43,0.0,1.0,2020-03-20,2.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
44,0.0,1.0,2020-03-21,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
45,0.0,1.0,2020-03-22,2.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
46,0.0,1.0,2020-03-24,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
47,0.0,1.0,2020-03-27,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
48,0.0,1.0,2020-03-30,1.0,40.77889540513932,-73.95327509828861,40.69335995776743,-73.98217446162076
