,startClusterID,endClusterID,num,eLongitude,eLatitude,sLongitude,sLatitude
0,0,0,8.57396449704142,40.6699775,-73.95654815,40.6699775,-73.95654815
1,0,1,1.0,40.75153106043334,-73.9733994875,40.6699775,-73.95654815
2,0,2,1.0769230769230769,40.72195965098956,-74.00381208572371,40.6699775,-73.95654815
3,0,3,1.0434782608695652,40.7071838,-73.9236062,40.6699775,-73.95654815
4,0,4,1.0,40.79627608,-73.93461494,40.6699775,-73.95654815
5,0,5,2.3059701492537314,40.68074422836932,-73.9770924069773,40.6699775,-73.95654815
6,0,6,1.0,40.76150476985063,-73.93866258312073,40.6699775,-73.95654815
7,0,7,1.4583333333333333,40.71862737649228,-73.9624243645897,40.6699775,-73.95654815
8,0,9,1.6306306306306306,40.69419095520335,-73.99250019334913,40.6699775,-73.95654815
9,0,10,1.0909090909090908,40.74836065617025,-73.99444469590114,40.6699775,-73.95654815
10,0,11,1.08,40.69833,-73.91311285714286,40.6699775,-73.95654815
11,0,12,1.15,40.701111275,-73.941229575,40.6699775,-73.95654815
12,0,15,1.2439024390243902,40.67587495146559,-74.01303344008396,40.6699775,-73.95654815
13,0,16,1.0,40.746128385,-73.949514275,40.6699775,-73.95654815
14,0,17,1.0,40.7765571,-73.9141457,40.6699775,-73.95654815
15,0,19,1.0,40.77633328094517,-73.98903641849756,40.6699775,-73.95654815
16,0,20,1.3076923076923077,40.73035884691447,-73.99193267210615,40.6699775,-73.95654815
17,0,21,1.2962962962962963,40.71057688142857,-73.94091546571428,40.6699775,-73.95654815
18,0,22,1.2727272727272727,40.7310259725,-73.95262962125,40.6699775,-73.95654815
19,0,23,1.1333333333333333,40.71669154,-74.00060730333334,40.6699775,-73.95654815
20,0,24,1.5529411764705883,40.6871859625,-73.97010454,40.6699775,-73.95654815
21,0,25,1.2463768115942029,40.689095,-73.91660999999999,40.6699775,-73.95654815
22,0,26,1.24,40.72128509285714,-73.99104692,40.6699775,-73.95654815
23,0,27,1.0,40.76255606,-73.93129196,40.6699775,-73.95654815
24,0,29,1.25,40.70688978166667,-74.007635425,40.6699775,-73.95654815
25,0,30,1.0588235294117647,40.730484989995176,-73.98046458630608,40.6699775,-73.95654815
26,0,31,1.2096774193548387,40.6829068,-73.9989966225,40.6699775,-73.95654815
27,0,32,1.0833333333333333,40.733501305,-74.00540697,40.6699775,-73.95654815
28,0,33,1.6829268292682926,40.684574966666666,-73.94330733333334,40.6699775,-73.95654815
29,0,35,1.4333333333333333,40.671207080250205,-73.9906220278483,40.6699775,-73.95654815
30,0,36,1.0,40.76979558798948,-73.96647104775283,40.6699775,-73.95654815
31,0,37,1.2571428571428571,40.69339428571429,-73.90628571428572,40.6699775,-73.95654815
32,0,38,1.4622641509433962,40.71239556076351,-73.95048357292434,40.6699775,-73.95654815
33,0,39,2.0763358778625953,40.69337780970047,-73.98435747959681,40.6699775,-73.95654815
34,0,41,1.0,40.763193782193184,-73.98452739397348,40.6699775,-73.95654815
35,0,42,1.0,40.74373580075297,-73.98201816097784,40.6699775,-73.95654815
36,0,43,1.864864864864865,40.691545586,-73.951273336,40.6699775,-73.95654815
37,0,44,1.5,40.692156,-73.92498020000001,40.6699775,-73.95654815
38,0,45,1.0,40.71632048304926,-73.98153764009774,40.6699775,-73.95654815
39,0,46,2.0970149253731343,40.67056754,-73.981861482,40.6699775,-73.95654815
40,0,49,1.0,40.77541928894555,-73.97767196879957,40.6699775,-73.95654815
41,0,50,1.05,40.72419651288004,-73.94442724330139,40.6699775,-73.95654815
42,0,51,1.0,40.8145097,-73.95928655,40.6699775,-73.95654815
43,0,52,1.4130434782608696,40.656244220581584,-74.00966495275497,40.6699775,-73.95654815
44,0,53,1.0,40.76117596387006,-73.96198403190498,40.6699775,-73.95654815
45,0,54,1.0,40.742993491186645,-73.93609082346597,40.6699775,-73.95654815
46,0,55,1.2826086956521738,40.70144275,-73.93332,40.6699775,-73.95654815
47,0,56,6.9171597633136095,40.67416268,-73.971444872,40.6699775,-73.95654815
48,0,57,1.1176470588235294,40.70386833333333,-73.90564833333333,40.6699775,-73.95654815
49,0,58,1.0,40.74386954,-74.000665695,40.6699775,-73.95654815
50,0,59,1.1805555555555556,40.693774536666666,-73.96725829333333,40.6699775,-73.95654815
51,0,62,1.5060240963855422,40.68046560766667,-73.95799707973333,40.6699775,-73.95654815
52,0,63,1.0,40.79654828469759,-73.96271224156203,40.6699775,-73.95654815
53,0,64,1.0714285714285714,40.71482842133693,-74.01226617396773,40.6699775,-73.95654815
54,0,65,1.163265306122449,40.68028666666667,-73.90488666666667,40.6699775,-73.95654815
55,0,66,1.0,40.75948243333333,-73.91597056666667,40.6699775,-73.95654815
56,0,68,1.0,40.7518707100445,-73.98002547616339,40.6699775,-73.95654815
57,0,70,1.4268292682926829,40.7161907075,-73.99375759,40.6699775,-73.95654815
58,0,71,1.25,40.759936456,-73.967367548,40.6699775,-73.95654815
59,0,72,1.4814814814814814,40.68015912332065,-73.99173324558265,40.6699775,-73.95654815
60,0,73,1.6029411764705883,40.70132652051545,-73.98885395825192,40.6699775,-73.95654815
61,0,74,1.0,40.77923957080797,-73.9761941018424,40.6699775,-73.95654815
62,0,75,1.1,40.73480008833333,-73.99965779833333,40.6699775,-73.95654815
63,0,77,1.2222222222222223,40.72334877409555,-73.95650310667685,40.6699775,-73.95654815
64,0,78,1.2,40.70903437025331,-73.95636610413392,40.6699775,-73.95654815
65,0,79,1.0,40.737825258,-73.978815074,40.6699775,-73.95654815
